Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento,Ventas,Año,Mes,Fin_de_semana_o_festivo,Estación_Año,Interacción_temp_humedad
2021-02-01,11.3,0.0,73.0,132.0,3.2,76.55,2021,2,0,0,824.9000000000001
2021-02-03,10.0,0.0,88.0,49.0,1.4,46.88,2021,2,0,0,880.0
2021-02-04,10.7,0.0,85.0,75.0,1.5,100.06,2021,2,0,0,909.4999999999999
2021-02-05,11.7,0.13,75.0,124.0,1.6,377.79,2021,2,0,0,877.5
2021-02-06,8.7,0.05,91.0,60.0,1.4,292.16,2021,2,1,0,791.6999999999999
2021-02-07,6.9,0.02,81.0,123.0,2.6,381.85,2021,2,1,0,558.9
2021-02-08,7.1,0.34,90.0,108.0,3.6,95.58,2021,2,0,0,639.0
2021-02-10,11.4,0.0418518518518518,77.0,114.77777777777776,1.755555555555555,123.54,2021,2,0,0,877.8000000000001
2021-02-11,11.4,0.09,96.0,41.0,2.1,98.72,2021,2,0,0,1094.4
2021-02-12,10.9,0.1,78.0,131.0,2.2,221.84,2021,2,0,0,850.2
2021-02-13,10.2,0.0,67.0,142.0,1.2,649.75,2021,2,1,0,683.4
2021-02-14,8.7,0.0,75.0,156.0,0.9,925.23,2021,2,1,0,652.5
2021-02-15,9.9,0.0,76.0,130.0,1.0,147.57,2021,2,0,0,752.4
2021-02-17,10.1,0.0,76.0,137.0,1.1,179.45,2021,2,0,0,767.6
2021-02-18,9.0,0.0,73.0,149.0,1.6,225.56,2021,2,0,0,657.0
2021-02-19,9.3,0.0,67.0,164.0,1.2,376.25,2021,2,0,0,623.1
2021-02-20,10.3,0.0,59.0,157.0,2.0,731.47,2021,2,1,0,607.7
2021-02-21,9.2,0.21,78.0,46.0,3.0,242.19,2021,2,1,0,717.5999999999999
2021-02-22,7.8,0.0,66.0,103.0,1.8,128.92,2021,2,0,0,514.8
2021-02-24,8.7,0.0,79.0,119.0,1.6,117.97,2021,2,0,0,687.3
2021-02-25,10.1,0.0,72.0,113.0,1.3,176.8,2021,2,0,0,727.1999999999999
2021-02-26,10.7,0.0,68.0,151.0,0.8,478.45,2021,2,0,0,727.5999999999999
2021-02-27,11.7,0.0,59.0,189.0,0.8,1002.54,2021,2,1,0,690.3
2021-02-28,9.1,0.0,67.0,156.0,2.3,535.21,2021,2,1,0,609.6999999999999
2021-03-01,8.5,0.0,75.0,14.0,1.6,132.9,2021,3,0,1,637.5
2021-03-03,11.1,0.0,74.0,110.0,0.7,110.58,2021,3,0,1,821.4
2021-03-04,8.6,0.0,85.0,81.0,0.7,95.05,2021,3,0,1,731.0
2021-03-05,9.7,0.0,76.0,142.0,1.0,413.29,2021,3,0,1,737.1999999999999
2021-03-06,11.4,0.0,64.0,142.0,1.2,718.97,2021,3,1,1,729.6
2021-03-07,9.9,0.12,75.0,144.0,1.1,475.69,2021,3,1,1,742.5
2021-03-09,8.4,0.1,62.0,190.0,1.6,190.29,2021,3,0,1,520.8000000000001
2021-03-10,7.4,0.0,64.0,218.0,1.2,206.3,2021,3,0,1,473.6
2021-03-11,10.6,0.0,71.0,209.0,1.7,303.8,2021,3,0,1,752.6
2021-03-12,10.3,0.0,67.0,187.0,1.9,321.59,2021,3,0,1,690.1
2021-03-13,7.8,0.0,60.0,229.0,1.8,839.04,2021,3,1,1,468.0
2021-03-14,9.5,0.0,59.0,215.0,1.1,1112.0,2021,3,1,1,560.5
