Fecha;Magnitud;Zona;Estación;Valor
2021-02-01;Velocidad del viento;Noroeste;Casa de Campo;3,2
2021-02-02;Velocidad del viento;Noroeste;Casa de Campo;2,3
2021-02-03;Velocidad del viento;Noroeste;Casa de Campo;1,4
2021-02-04;Velocidad del viento;Noroeste;Casa de Campo;1,5
2021-02-05;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-02-06;Velocidad del viento;Noroeste;Casa de Campo;1,4
2021-02-07;Velocidad del viento;Noroeste;Casa de Campo;2,6
2021-02-08;Velocidad del viento;Noroeste;Casa de Campo;3,6
2021-02-09;Velocidad del viento;Noroeste;Casa de Campo;2,6
2021-02-10;Velocidad del viento;Noroeste;Casa de Campo;
2021-02-11;Velocidad del viento;Noroeste;Casa de Campo;2,1
2021-02-12;Velocidad del viento;Noroeste;Casa de Campo;2,2
2021-02-13;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-02-14;Velocidad del viento;Noroeste;Casa de Campo;0,9
2021-02-15;Velocidad del viento;Noroeste;Casa de Campo;1,0
2021-02-16;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-02-17;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-02-18;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-02-19;Velocidad del viento;Noroeste;Casa de Campo;1,2
2021-02-20;Velocidad del viento;Noroeste;Casa de Campo;2,0
2021-02-21;Velocidad del viento;Noroeste;Casa de Campo;3,0
2021-02-22;Velocidad del viento;Noroeste;Casa de Campo;1,8
2021-02-23;Velocidad del viento;Noroeste;Casa de Campo;1,1
2021-02-24;Velocidad del viento;Noroeste;Casa de Campo;1,6
2021-02-25;Velocidad del viento;Noroeste;Casa de Campo;1,3
2021-02-26;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-02-27;Velocidad del viento;Noroeste;Casa de Campo;0,8
2021-02-28;Velocidad del viento;Noroeste;Casa de Campo;2,3
