Fecha;Magnitud;Zona;Estación;Valor
2022-04-01;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-04-02;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-04-03;Velocidad del viento;Noroeste;Casa de Campo;1,9
2022-04-04;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-04-05;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-04-06;Velocidad del viento;Noroeste;Casa de Campo;1,9
2022-04-07;Velocidad del viento;Noroeste;Casa de Campo;2,5
2022-04-08;Velocidad del viento;Noroeste;Casa de Campo;2,5
2022-04-09;Velocidad del viento;Noroeste;Casa de Campo;2,1
2022-04-10;Velocidad del viento;Noroeste;Casa de Campo;1,9
2022-04-11;Velocidad del viento;Noroeste;Casa de Campo;2,5
2022-04-12;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-04-13;Velocidad del viento;Noroeste;Casa de Campo;1,0
2022-04-14;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-04-15;Velocidad del viento;Noroeste;Casa de Campo;1,0
2022-04-16;Velocidad del viento;Noroeste;Casa de Campo;0,9
2022-04-17;Velocidad del viento;Noroeste;Casa de Campo;
2022-04-18;Velocidad del viento;Noroeste;Casa de Campo;1,9
2022-04-19;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-04-20;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-04-21;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-04-22;Velocidad del viento;Noroeste;Casa de Campo;2,6
2022-04-23;Velocidad del viento;Noroeste;Casa de Campo;3,4
2022-04-24;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-04-25;Velocidad del viento;Noroeste;Casa de Campo;1,0
2022-04-26;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-04-27;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-04-28;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-04-29;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-04-30;Velocidad del viento;Noroeste;Casa de Campo;1,0
