Fecha;Magnitud;Zona;Estación;Valor
2022-03-01;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-03-02;Velocidad del viento;Noroeste;Casa de Campo;1,8
2022-03-03;Velocidad del viento;Noroeste;Casa de Campo;0,8
2022-03-04;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-03-05;Velocidad del viento;Noroeste;Casa de Campo;0,9
2022-03-06;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-03-07;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-03-08;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-03-09;Velocidad del viento;Noroeste;Casa de Campo;0,8
2022-03-10;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-03-11;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-03-12;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-03-13;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-03-14;Velocidad del viento;Noroeste;Casa de Campo;1,7
2022-03-15;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-03-16;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-03-17;Velocidad del viento;Noroeste;Casa de Campo;2,2
2022-03-18;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-03-19;Velocidad del viento;Noroeste;Casa de Campo;1,1
2022-03-20;Velocidad del viento;Noroeste;Casa de Campo;2,8
2022-03-21;Velocidad del viento;Noroeste;Casa de Campo;2,0
2022-03-22;Velocidad del viento;Noroeste;Casa de Campo;3,0
2022-03-23;Velocidad del viento;Noroeste;Casa de Campo;1,6
2022-03-24;Velocidad del viento;Noroeste;Casa de Campo;1,5
2022-03-25;Velocidad del viento;Noroeste;Casa de Campo;1,4
2022-03-26;Velocidad del viento;Noroeste;Casa de Campo;1,0
2022-03-27;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-03-28;Velocidad del viento;Noroeste;Casa de Campo;1,3
2022-03-29;Velocidad del viento;Noroeste;Casa de Campo;1,2
2022-03-30;Velocidad del viento;Noroeste;Casa de Campo;0,8
2022-03-31;Velocidad del viento;Noroeste;Casa de Campo;1,6
