Fecha;Magnitud;Zona;Estación;Valor
2022-02-01;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-02;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-03;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-04;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-05;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-06;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-07;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-08;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-09;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-10;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-11;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-12;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-13;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-14;Precipitación;Noroeste;Casa de Campo;0,04
2022-02-15;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-16;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-17;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-18;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-19;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-20;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-21;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-22;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-23;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-24;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-25;Precipitación;Noroeste;Casa de Campo;0,15
2022-02-26;Precipitación;Noroeste;Casa de Campo;0,08
2022-02-27;Precipitación;Noroeste;Casa de Campo;0,00
2022-02-28;Precipitación;Noroeste;Casa de Campo;0,00
