Fecha;Magnitud;Zona;Estación;Valor
2022-09-01;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-02;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-03;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-04;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-05;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-06;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-07;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-08;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-09;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-10;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-11;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-12;Precipitación;Noroeste;Casa de Campo;0,01
2022-09-13;Precipitación;Noroeste;Casa de Campo;0,45
2022-09-14;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-15;Precipitación;Noroeste;Casa de Campo;0,10
2022-09-16;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-17;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-18;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-19;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-20;Precipitación;Noroeste;Casa de Campo;0,51
2022-09-21;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-22;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-23;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-24;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-25;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-26;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-27;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-28;Precipitación;Noroeste;Casa de Campo;0,00
2022-09-29;Precipitación;Noroeste;Casa de Campo;0,05
2022-09-30;Precipitación;Noroeste;Casa de Campo;0,00
