Fecha;Magnitud;Zona;Estación;Valor
2023-08-01;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-02;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-03;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-04;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-05;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-06;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-07;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-08;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-09;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-10;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-11;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-12;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-13;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-14;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-15;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-16;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-17;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-18;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-19;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-20;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-21;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-22;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-23;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-24;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-25;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-26;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-27;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-28;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-29;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-30;Precipitación;Noroeste;Casa de Campo;0,00
2023-08-31;Precipitación;Noroeste;Casa de Campo;0,00
